0.5804,0.5874,0.8733,0.1930,0.5090,0.3369,0.1772,0.5991,0.1560,0.5097,0.1744,0.3220,0.2871,0.3919,0.2828,0.5517,0.5367,0.7686,0.4002,0.9891,0.9336,0.9054,0.8821,0.5454,0.3175,0.2143,0.9159,0.8471,0.9449,0.6206,0.4684,0.4357,0.5384,0.9345,0.1228,0.2857,0.8329,0.0936,0.3967,0.3945,0.9956,0.4359,0.6643,0.9851,0.0653,0.2623,0.5226,0.0162,0.7623,0.6099,0.8575
0.5329,0.3301,0.6454,0.5489,0.4246,0.3041,0.3928,0.5252,0.3997,0.0440,0.7629,0.9519,0.6617,0.1299,0.5882,0.3801,0.1130,0.6823,0.5678,0.1269,0.8441,0.0116,0.6039,0.8789,0.7814,0.5472,0.9101,0.2064,0.5635,0.7512,0.5968,0.8367,0.6700,0.1529,0.5076,0.4560,0.1305,0.9252,0.4129,0.3899,0.8696,0.6146,0.1103,0.3402,0.6307,0.8910,0.3722,0.9169,0.2302,0.6132,0.0571
0.1815,0.4420,0.1538,0.9181,0.2634,0.7301,0.4141,0.7285,0.6160,0.1504,0.5809,0.7341,0.3502,0.8229,0.8433,0.4673,0.8840,0.7289,0.5483,0.2170,0.1870,0.7079,0.6665,0.1239,0.8655,0.6105,0.4952,0.1043,0.3047,0.1515,0.5613,0.0117,0.9865,0.4812,0.4428,0.2335,0.5934,0.5459,0.6961,0.3913,0.4897,0.2268,0.3087,0.2655,0.0192,0.9039,0.1758,0.8574,0.0972,0.9734,0.1059
0.0468,0.9591,0.1800,0.4257,0.4401,0.6054,0.7857,0.6066,0.4198,0.1578,0.6149,0.1598,0.1982,0.6000,0.8899,0.2771,0.1070,0.5757,0.3740,0.5711,0.5790,0.9873,0.6393,0.3559,0.9947,0.4865,0.3593,0.5401,0.2273,0.2741,0.0449,0.6192,0.3384,0.1277,0.8262,0.2688,0.2712,0.3708,0.2408,0.8495,0.5173,0.2535,0.0069,0.8686,0.8232,0.1815,0.9068,0.8068,0.6235,0.3600,0.6020
0.2314,0.0611,0.7518,0.4498,0.4030,0.9742,0.4700,0.2787,0.2517,0.9350,0.3040,0.1817,0.2094,0.6925,0.7342,0.3123,0.2060,0.5217,0.0770,0.8685,0.8316,0.3193,0.4446,0.5182,0.6917,0.8185,0.6306,0.2891,0.5202,0.1364,0.1378,0.2119,0.4389,0.9053,0.4331,0.4994,0.0356,0.0255,0.0472,0.6448,0.4628,0.5406,0.4623,0.6635,0.3795,0.4134,0.8707,0.3261,0.7141,0.9815,0.1279
0.7751,0.0405,0.1284,0.9041,0.3802,0.1644,0.9358,0.1814,0.4590,0.7119,0.6291,0.1977,0.2205,0.6666,0.2355,0.3290,0.1129,0.9099,0.3906,0.2313,0.2969,0.7645,0.6147,0.8270,0.1821,0.5505,0.4598,0.1869,0.9246,0.0302,0.0006,0.7564,0.0095,0.6771,0.8832,0.0423,0.1246,0.9434,0.5617,0.4269,0.4055,0.3434,0.4432,0.1666,0.5126,0.3617,0.6235,0.8017,0.7928,0.8133,0.3224
0.2857,0.2968,0.2619,0.4452,0.6785,0.0827,0.5589,0.0124,0.5455,0.1127,0.5945,0.4527,0.9983,0.2321,0.2691,0.8502,0.7896,0.6719,0.5543,0.0944,0.9349,0.3639,0.0393,0.7734,0.3934,0.4354,0.8146,0.9842,0.5522,0.5765,0.6407,0.7002,0.1026,0.4238,0.7852,0.5791,0.6820,0.9947,0.0635,0.7814,0.0666,0.5226,0.4348,0.8793,0.1865,0.3132,0.8464,0.4147,0.6306,0.9054,0.6425
0.1734,0.1578,0.8227,0.8452,0.9508,0.9457,0.3225,0.5481,0.2628,0.2946,0.0458,0.5517,0.2388,0.4817,0.0037,0.3366,0.3785,0.7467,0.9871,0.6961,0.8020,0.7795,0.2403,0.8843,0.3613,0.2270,0.4625,0.1715,0.4299,0.4826,0.9162,0.7350,0.5881,0.6185,0.7041,0.2005,0.4386,0.3437,0.6968,0.0462,0.3964,0.4723,0.4653,0.8719,0.7530,0.4014,0.6860,0.5016,0.4018,0.1846,0.9038
0.9355,0.9859,0.1139,0.2605,0.8952,0.3775,0.8396,0.2522,0.8385,0.1351,0.5071,0.4733,0.9977,0.5028,0.2501,0.7628,0.7427,0.7212,0.5738,0.0591,0.3839,0.0609,0.1042,0.5457,0.3067,0.1246,0.1039,0.5646,0.9104,0.2744,0.9330,0.5315,0.2992,0.9127,0.1755,0.4117,0.6166,0.2667,0.3960,0.2278,0.9507,0.1393,0.7852,0.4660,0.5365,0.0357,0.3302,0.8628,0.2094,0.7001,0.8110
0.8548,0.4159,0.0383,0.7191,0.2449,0.6703,0.5139,0.4294,0.8242,0.7126,0.9136,0.6106,0.1304,0.8696,0.5941,0.6534,0.9206,0.9374,0.1540,0.0489,0.9265,0.0823,0.3981,0.9735,0.7799,0.7146,0.3887,0.6142,0.8405,0.2124,0.2921,0.8816,0.2821,0.0414,0.0743,0.8800,0.0757,0.9345,0.5333,0.3482,0.3130,0.8170,0.1444,0.5161,0.4647,0.9110,0.2617,0.5218,0.8020,0.8995,0.6339
0.0261,0.9584,0.3230,0.1172,0.3149,0.7609,0.6036,0.2630,0.5403,0.5113,0.5748,0.6130,0.6106,0.0327,0.4236,0.8008,0.9605,0.9224,0.3294,0.9511,0.5266,0.9469,0.0811,0.8254,0.1667,0.6614,0.5347,0.8266,0.1374,0.3417,0.2665,0.4481,0.8875,0.7077,0.7002,0.3051,0.2631,0.2933,0.3338,0.3671,0.6370,0.0847,0.1178,0.5610,0.1289,0.4015,0.6657,0.6989,0.0956,0.4972,0.8727
0.9631,0.7588,0.9785,0.9750,0.8955,0.3563,0.8751,0.8185,0.2073,0.7924,0.6152,0.1821,0.8706,0.9523,0.5791,0.1347,0.5575,0.6799,0.9796,0.6521,0.9732,0.8113,0.4198,0.3421,0.7156,0.2328,0.9997,0.6773,0.8284,0.7545,0.0139,0.6774,0.2642,0.1939,0.6751,0.2629,0.9248,0.1505,0.3285,0.2603,0.0928,0.0891,0.3314,0.3236,0.8914,0.2273,0.5140,0.8348,0.7793,0.1632,0.6723
0.8068,0.9609,0.5090,0.1774,0.5150,0.2304,0.2642,0.5704,0.4851,0.7729,0.4128,0.1192,0.6793,0.6998,0.2356,0.9822,0.8192,0.1054,0.0805,0.9767,0.5483,0.9234,0.6805,0.2971,0.9906,0.8547,0.3047,0.5838,0.3521,0.6261,0.3678,0.8941,0.1988,0.7841,0.9561,0.6483,0.7738,0.7989,0.5294,0.9567,0.3037,0.6167,0.3607,0.1018,0.8715,0.2287,0.4890,0.3246,0.8256,0.2016,0.0920
0.9837,0.3885,0.7504,0.8485,0.9295,0.0925,0.1812,0.8126,0.2449,0.3639,0.4689,0.3545,0.6950,0.5275,0.5028,0.7360,0.6260,0.7353,0.3923,0.1068,0.6627,0.8787,0.9297,0.5970,0.8050,0.7308,0.4818,0.3075,0.0179,0.1059,0.8079,0.1069,0.7898,0.9316,0.1681,0.5122,0.0001,0.4727,0.7460,0.6818,0.8186,0.4620,0.3045,0.2366,0.0925,0.2743,0.0447,0.1539,0.6342,0.5942,0.0339
0.4723,0.0108,0.4079,0.2921,0.6790,0.2753,0.9327,0.2892,0.6727,0.5206,0.1443,0.7841,0.6471,0.9746,0.0394,0.6475,0.4632,0.1142,0.3832,0.5066,0.7377,0.4995,0.0430,0.0825,0.3666,0.2133,0.3221,0.0421,0.5667,0.5673,0.4366,0.5788,0.1168,0.4054,0.4065,0.0367,0.9125,0.9610,0.9738,0.6189,0.9571,0.8053,0.2911,0.2521,0.2869,0.1021,0.0451,0.1723,0.7861,0.3745,0.7727
0.2537,0.0867,0.8815,0.6873,0.7439,0.8159,0.9473,0.8482,0.4007,0.0362,0.2003,0.1017,0.2787,0.6498,0.9048,0.1192,0.8627,0.5105,0.4696,0.7876,0.0842,0.9985,0.2027,0.8171,0.5172,0.5130,0.0266,0.2019,0.7617,0.0556,0.6298,0.3223,0.8945,0.8249,0.5347,0.3978,0.0593,0.1178,0.7253,0.3670,0.2366,0.1140,0.1308,0.5457,0.6746,0.8765,0.5432,0.3091,0.3808,0.9529,0.5757
